fold,test_patient,validation_patient,threshold,val_auroc,val_auprc,auroc,auprc,f1,gt_seizures,detected_seizures,event_sensitivity,false_alarms,recording_hours,fa_per_hour,median_latency_sec,ece,elapsed_sec
1,sub-01,sub-02+sub-03+sub-04+sub-05,0.9375,0.9004354309921425,0.35998006981964,0.8390436509646073,0.22269277937453524,0.0,11,0,0.0,0,73.3825,0.0,,0.17102552670856394,284.9519825000316
2,sub-02,sub-03+sub-04+sub-05+sub-06,0.94580078125,0.8439993388015063,0.23276090540306682,0.991056178964785,0.544897090656494,0.16753926701570682,3,1,0.3333333333333333,0,35.26638888888889,0.0,52.0,0.1260801373178922,283.5226456000237
3,sub-03,sub-04+sub-05+sub-06+sub-07,0.9462890625,0.8855358923950722,0.3459829960726824,0.9001478030693141,0.21688835586764232,0.004878048780487805,7,0,0.0,0,38.001666666666665,0.0,,0.06735595587987905,287.4473463000031
4,sub-04,sub-05+sub-06+sub-07+sub-08,0.9384765625,0.859493931112885,0.2668291092057194,0.8961457692864013,0.01381015135858444,0.0,4,0,0.0,116,156.065,0.7432800435715887,,0.07913192520654401,276.0448624000419
5,sub-05,sub-06+sub-07+sub-08+sub-09,0.90478515625,0.7727290028699474,0.005916365163422766,0.9892328802006873,0.6116017775791537,0.5796930342384888,5,5,1.0,68,39.00277777777778,1.7434655651306885,4.0,0.3256201925580109,266.555268600001
6,sub-06,sub-07+sub-08+sub-09+sub-10,0.8232421875,0.8732082120332456,0.01197420201086458,0.5192444684268154,0.0006392130296559773,0.0010396554284865587,10,5,0.5,3600,66.735,53.94470667565745,0.0,0.6195708389062454,268.3879276000662
7,sub-07,sub-08+sub-09+sub-10+sub-11,0.94873046875,0.7766886698481357,0.05595710159138221,0.9540861495478806,0.8522448725747899,0.3681592039800995,3,2,0.6666666666666666,1,67.05222222222223,0.014913748819328217,23.5,0.10588540017780898,245.46199330000672
8,sub-08,sub-09+sub-10+sub-11+sub-12,0.9443359375,0.7825301117147616,0.17601117306294312,0.9105121296960659,0.5872786500974979,0.0,5,0,0.0,0,20.00638888888889,0.0,,0.33266635283018814,217.5664266999811
9,sub-09,sub-10+sub-11+sub-12+sub-13,0.88037109375,0.7454599926734415,0.19953020337826358,0.923164271752817,0.03299120149353861,0.007359192718859325,4,4,1.0,1378,67.87166666666667,20.303022861773446,0.0,0.562530319722683,220.35062699997798
10,sub-10,sub-11+sub-12+sub-13+sub-14,0.82080078125,0.6769767368129389,0.044083659191774684,0.8784267654410982,0.6457019118165473,0.6322722283205269,7,6,0.8571428571428571,13,50.02333333333333,0.2598787232624775,7.5,0.21144044048040334,212.03413289994933
11,sub-11,sub-12+sub-13+sub-14+sub-15,0.6875,0.4534422705292783,0.007930270499558998,0.9541426315480587,0.6479353839877138,0.6516717325227963,3,2,0.6666666666666666,47,34.79361111111111,1.3508227085113007,5.0,0.10094835902491864,181.09626000002027
12,sub-12,sub-13+sub-14+sub-15+sub-16,0.072265625,0.4767882151228923,0.0060025002303696635,0.43786014007232743,0.030955882477776746,0.0264951311782139,27,22,0.8148148148148148,270,20.68777777777778,13.051184274128579,0.0,0.2523480693101643,185.48355890007224
13,sub-13,sub-14+sub-15+sub-16+sub-17,0.544921875,0.3825931863874058,0.006200544631558811,0.508327346189687,0.005846340726715912,0.010273858367523933,12,9,0.75,2037,33.0,61.72727272727273,8.0,0.3542546040674539,207.19754280010238
14,sub-14,sub-15+sub-16+sub-17+sub-18,0.51220703125,0.7569459168561122,0.016493223801347025,0.3697141157161014,0.0031706735057019705,0.00599610253335332,8,2,0.25,676,26.0,26.0,6.0,0.24246520893361828,216.40294549998362
15,sub-15,sub-16+sub-17+sub-18+sub-19,0.9482421875,0.9297242502728841,0.0554760725224305,0.5483756118489648,0.01900070085266097,0.0,20,0,0.0,0,40.01,0.0,,0.03719922262329688,18190.453071000054
16,sub-16,sub-17+sub-18+sub-19+sub-20,0.75732421875,0.9027189019158677,0.14474891516259486,0.6269504273110144,0.001917102375576656,0.0009551098376313276,10,0,0.0,299,19.0,15.736842105263158,,0.17128178542705005,259.57375209999736
17,sub-17,sub-18+sub-19+sub-20+sub-22,0.7998046875,0.9366578118132951,0.3851167456894607,0.9253828428066879,0.18564589543923213,0.12048192771084337,3,2,0.6666666666666666,3,21.006666666666668,0.14281180577594413,36.0,0.09710169797813857,279.63706480001565
18,sub-18,sub-19+sub-20+sub-22+sub-23,0.8291015625,0.9401111727035183,0.47022510486009433,0.9501576085322934,0.10635577924111593,0.0044943820224719105,6,0,0.0,17,35.63472222222222,0.4770627898819036,,0.057669492657205494,295.89829949999694
